LC,DC,Y,M
PL,AD,2022,7
PL,HU,2022,7
PL,HR,2022,7
PL,BA,2022,7
PL,RS,2022,7
PL,FR,2022,7
PL,AL,2022,7
PL,CH,2022,7
PL,MK,2022,7
PL,DK,2022,7
PL,IE,2022,7
PL,RO,2022,7
PL,DE,2022,7
PL,MD,2022,7
PL,AT,2022,7
PL,CZ,2022,7
PL,NO,2022,7
PL,EE,2022,7
PL,SK,2022,7
PL,BG,2022,7
PL,ES,2022,7
PL,BE,2022,7
PL,NL,2022,7
PL,LT,2022,7
PL,FI,2022,7
PL,GB,2022,7
PL,SE,2022,7
PL,SI,2022,7
PL,UA,2022,7
PL,IT,2022,7
PL,LV,2022,7
PL,GR,2022,7
PL,IS,2022,7
PL,TR,2022,7
PL,PT,2022,7
PL,CY,2022,7
PL,KZ,2022,7
PL,RU,2022,7
PL,BY,2022,7
PL,AZ,2022,7
PL,GE,2022,7
PL,AM,2022,7
PL,LU,2022,7
PL,ME,2022,8
PL,AD,2022,8
PL,HU,2022,8
PL,HR,2022,8
PL,BA,2022,8
PL,RS,2022,8
PL,FR,2022,8
PL,AL,2022,8
PL,CH,2022,8
PL,MK,2022,8
PL,DK,2022,8
PL,IE,2022,8
PL,RO,2022,8
PL,DE,2022,8
PL,MD,2022,8
PL,AT,2022,8
PL,CZ,2022,8
PL,NO,2022,8
PL,EE,2022,8
PL,SK,2022,8
PL,BG,2022,8
PL,ES,2022,8
PL,BE,2022,8
PL,NL,2022,8
PL,LT,2022,8
PL,FI,2022,8
PL,GB,2022,8
PL,SE,2022,8
PL,SI,2022,8
PL,UA,2022,8
PL,IT,2022,8
PL,LV,2022,8
PL,GR,2022,8
PL,IS,2022,8
PL,TR,2022,8
PL,PT,2022,8
PL,CY,2022,8
PL,KZ,2022,8
PL,RU,2022,8
PL,BY,2022,8
PL,AZ,2022,8
PL,GE,2022,8
PL,AM,2022,8
PL,LU,2022,8
PL,ME,2022,9
PL,AD,2022,9
PL,HU,2022,9
PL,HR,2022,9
PL,BA,2022,9
PL,RS,2022,9
PL,FR,2022,9
PL,AL,2022,9
PL,CH,2022,9
PL,MK,2022,9
PL,DK,2022,9
PL,IE,2022,9
PL,RO,2022,9
PL,DE,2022,9
PL,MD,2022,9
PL,AT,2022,9
PL,CZ,2022,9
PL,NO,2022,9
PL,EE,2022,9
PL,SK,2022,9
PL,BG,2022,9
PL,ES,2022,9
PL,BE,2022,9
PL,NL,2022,9
PL,LT,2022,9
PL,FI,2022,9
PL,GB,2022,9
PL,SE,2022,9
PL,SI,2022,9
PL,UA,2022,9
PL,IT,2022,9
PL,LV,2022,9
PL,GR,2022,9
PL,IS,2022,9
PL,TR,2022,9
PL,PT,2022,9
PL,CY,2022,9
PL,KZ,2022,9
PL,RU,2022,9
PL,BY,2022,9
PL,AZ,2022,9
PL,GE,2022,9
PL,AM,2022,9
PL,LU,2022,9
PL,ME,2022,10
PL,AD,2022,10
PL,HU,2022,10
PL,HR,2022,10
PL,BA,2022,10
PL,RS,2022,10
PL,FR,2022,10
PL,AL,2022,10
PL,CH,2022,10
PL,MK,2022,10
PL,DK,2022,10
PL,IE,2022,10
PL,RO,2022,10
PL,DE,2022,10
PL,MD,2022,10
PL,AT,2022,10
PL,CZ,2022,10
PL,NO,2022,10
PL,EE,2022,10
PL,SK,2022,10
PL,BG,2022,10
PL,ES,2022,10
PL,BE,2022,10
PL,NL,2022,10
PL,LT,2022,10
PL,FI,2022,10
PL,GB,2022,10
PL,SE,2022,10
PL,SI,2022,10
PL,UA,2022,10
PL,IT,2022,10
PL,LV,2022,10
PL,GR,2022,10
PL,IS,2022,10
PL,TR,2022,10
PL,PT,2022,10
PL,CY,2022,10
PL,KZ,2022,10
PL,RU,2022,10
PL,BY,2022,10
PL,AZ,2022,10
PL,GE,2022,10
PL,AM,2022,10
PL,LU,2022,10
PL,ME,2022,11
PL,AD,2022,11
PL,HU,2022,11
PL,HR,2022,11
PL,BA,2022,11
PL,RS,2022,11
PL,FR,2022,11
PL,AL,2022,11
PL,CH,2022,11
PL,MK,2022,11
PL,DK,2022,11
PL,IE,2022,11
PL,RO,2022,11
PL,DE,2022,11
PL,MD,2022,11
PL,AT,2022,11
PL,CZ,2022,11
PL,NO,2022,11
PL,EE,2022,11
PL,SK,2022,11
PL,BG,2022,11
PL,ES,2022,11
PL,BE,2022,11
PL,NL,2022,11
PL,LT,2022,11
PL,FI,2022,11
PL,GB,2022,11
PL,SE,2022,11
PL,SI,2022,11
PL,UA,2022,11
PL,IT,2022,11
PL,LV,2022,11
PL,GR,2022,11
PL,IS,2022,11
PL,TR,2022,11
PL,PT,2022,11
PL,CY,2022,11
PL,KZ,2022,11
PL,RU,2022,11
PL,BY,2022,11
PL,AZ,2022,11
PL,GE,2022,11
PL,AM,2022,11
PL,LU,2022,11
PL,ME,2022,12
PL,AD,2022,12
PL,HU,2022,12
PL,HR,2022,12
PL,BA,2022,12
PL,RS,2022,12
PL,FR,2022,12
PL,AL,2022,12
PL,CH,2022,12
PL,MK,2022,12
PL,DK,2022,12
PL,IE,2022,12
PL,RO,2022,12
PL,DE,2022,12
PL,MD,2022,12
PL,AT,2022,12
PL,CZ,2022,12
PL,NO,2022,12
PL,EE,2022,12
PL,SK,2022,12
PL,BG,2022,12
PL,ES,2022,12
PL,BE,2022,12
PL,NL,2022,12
PL,LT,2022,12
PL,FI,2022,12
PL,GB,2022,12
PL,SE,2022,12
PL,SI,2022,12
PL,UA,2022,12
PL,IT,2022,12
PL,LV,2022,12
PL,GR,2022,12
PL,IS,2022,12
PL,TR,2022,12
PL,PT,2022,12
PL,CY,2022,12
PL,KZ,2022,12
PL,RU,2022,12
PL,BY,2022,12
PL,AZ,2022,12
PL,GE,2022,12
PL,AM,2022,12
PL,LU,2022,12
ME,PL,2022,1
AD,PL,2022,1
HU,PL,2022,1
HR,PL,2022,1
BA,PL,2022,1
RS,PL,2022,1
FR,PL,2022,1
AL.,PL,2022,1
CH,PL,2022,1
MK,PL,2022,1
DK,PL,2022,1
IE,PL,2022,1
RO,PL,2022,1
DE,PL,2022,1
MD,PL,2022,1
AT,PL,2022,1
CZ,PL,2022,1
NO,PL,2022,1
EE,PL,2022,1
SK,PL,2022,1
BG,PL,2022,1
ES,PL,2022,1
BE,PL,2022,1
NL,PL,2022,1
LT,PL,2022,1
FI,PL,2022,1
GB,PL,2022,1
SE,PL,2022,1
SI,PL,2022,1
UA,PL,2022,1
IT,PL,2022,1
LV,PL,2022,1
GR,PL,2022,1
IS,PL,2022,1
TR,PL,2022,1
PT,PL,2022,1
CY,PL,2022,1
KZ,PL,2022,1
RU,PL,2022,1
BY,PL,2022,1
AZ,PL,2022,1
GE,PL,2022,1
AM,PL,2022,1
LU,PL,2022,1
ME,PL,2022,2
AD,PL,2022,2
HU,PL,2022,2
HR,PL,2022,2
BA,PL,2022,2
RS,PL,2022,2
FR,PL,2022,2
AL.,PL,2022,2
CH,PL,2022,2
MK,PL,2022,2
DK,PL,2022,2
IE,PL,2022,2
RO,PL,2022,2
DE,PL,2022,2
MD,PL,2022,2
AT,PL,2022,2
CZ,PL,2022,2
NO,PL,2022,2
EE,PL,2022,2
SK,PL,2022,2
BG,PL,2022,2
ES,PL,2022,2
BE,PL,2022,2
NL,PL,2022,2
LT,PL,2022,2
FI,PL,2022,2
GB,PL,2022,2
SE,PL,2022,2
SI,PL,2022,2
UA,PL,2022,2
IT,PL,2022,2
LV,PL,2022,2
GR,PL,2022,2
IS,PL,2022,2
TR,PL,2022,2
PT,PL,2022,2
CY,PL,2022,2
KZ,PL,2022,2
RU,PL,2022,2
BY,PL,2022,2
AZ,PL,2022,2
GE,PL,2022,2
AM,PL,2022,2
LU,PL,2022,2
ME,PL,2022,3
AD,PL,2022,3
HU,PL,2022,3
HR,PL,2022,3
BA,PL,2022,3
RS,PL,2022,3
FR,PL,2022,3
AL.,PL,2022,3
CH,PL,2022,3
MK,PL,2022,3
DK,PL,2022,3
IE,PL,2022,3
RO,PL,2022,3
DE,PL,2022,3
MD,PL,2022,3
AT,PL,2022,3
CZ,PL,2022,3
NO,PL,2022,3
EE,PL,2022,3
SK,PL,2022,3
BG,PL,2022,3
ES,PL,2022,3
BE,PL,2022,3
NL,PL,2022,3
LT,PL,2022,3
FI,PL,2022,3
GB,PL,2022,3
SE,PL,2022,3
SI,PL,2022,3
UA,PL,2022,3
IT,PL,2022,3
LV,PL,2022,3
GR,PL,2022,3
IS,PL,2022,3
TR,PL,2022,3
PT,PL,2022,3
CY,PL,2022,3
KZ,PL,2022,3
RU,PL,2022,3
BY,PL,2022,3
AZ,PL,2022,3
GE,PL,2022,3
AM,PL,2022,3
LU,PL,2022,3
ME,PL,2022,4
AD,PL,2022,4
HU,PL,2022,4
HR,PL,2022,4
BA,PL,2022,4
RS,PL,2022,4
FR,PL,2022,4
AL.,PL,2022,4
CH,PL,2022,4
MK,PL,2022,4
DK,PL,2022,4
IE,PL,2022,4
RO,PL,2022,4
DE,PL,2022,4
MD,PL,2022,4
AT,PL,2022,4
CZ,PL,2022,4
NO,PL,2022,4
EE,PL,2022,4
SK,PL,2022,4
BG,PL,2022,4
ES,PL,2022,4
BE,PL,2022,4
NL,PL,2022,4
LT,PL,2022,4
FI,PL,2022,4
GB,PL,2022,4
SE,PL,2022,4
SI,PL,2022,4
UA,PL,2022,4
IT,PL,2022,4
LV,PL,2022,4
GR,PL,2022,4
IS,PL,2022,4
TR,PL,2022,4
PT,PL,2022,4
CY,PL,2022,4
KZ,PL,2022,4
RU,PL,2022,4
BY,PL,2022,4
AZ,PL,2022,4
GE,PL,2022,4
AM,PL,2022,4
LU,PL,2022,4
ME,PL,2022,5
AD,PL,2022,5
HU,PL,2022,5
HR,PL,2022,5
BA,PL,2022,5
RS,PL,2022,5
FR,PL,2022,5
AL.,PL,2022,5
CH,PL,2022,5
MK,PL,2022,5
DK,PL,2022,5
IE,PL,2022,5
RO,PL,2022,5
DE,PL,2022,5
MD,PL,2022,5
AT,PL,2022,5
CZ,PL,2022,5
NO,PL,2022,5
EE,PL,2022,5
SK,PL,2022,5
BG,PL,2022,5
ES,PL,2022,5
BE,PL,2022,5
NL,PL,2022,5
LT,PL,2022,5
FI,PL,2022,5
GB,PL,2022,5
SE,PL,2022,5
SI,PL,2022,5
UA,PL,2022,5
IT,PL,2022,5
LV,PL,2022,5
GR,PL,2022,5
IS,PL,2022,5
TR,PL,2022,5
PT,PL,2022,5
CY,PL,2022,5
KZ,PL,2022,5
RU,PL,2022,5
BY,PL,2022,5
AZ,PL,2022,5
GE,PL,2022,5
AM,PL,2022,5
LU,PL,2022,5
ME,PL,2022,6
AD,PL,2022,6
HU,PL,2022,6
HR,PL,2022,6
BA,PL,2022,6
RS,PL,2022,6
FR,PL,2022,6
AL.,PL,2022,6
CH,PL,2022,6
MK,PL,2022,6
DK,PL,2022,6
IE,PL,2022,6
RO,PL,2022,6
DE,PL,2022,6
MD,PL,2022,6
AT,PL,2022,6
CZ,PL,2022,6
NO,PL,2022,6
EE,PL,2022,6
SK,PL,2022,6
BG,PL,2022,6
ES,PL,2022,6
BE,PL,2022,6
NL,PL,2022,6
LT,PL,2022,6
FI,PL,2022,6
GB,PL,2022,6
SE,PL,2022,6
SI,PL,2022,6
UA,PL,2022,6
IT,PL,2022,6
LV,PL,2022,6
GR,PL,2022,6
IS,PL,2022,6
TR,PL,2022,6
PT,PL,2022,6
CY,PL,2022,6
KZ,PL,2022,6
RU,PL,2022,6
BY,PL,2022,6
AZ,PL,2022,6
GE,PL,2022,6
AM,PL,2022,6
LU,PL,2022,6
ME,PL,2022,7
AD,PL,2022,7
HU,PL,2022,7
HR,PL,2022,7
BA,PL,2022,7
RS,PL,2022,7
FR,PL,2022,7
AL.,PL,2022,7
CH,PL,2022,7
MK,PL,2022,7
DK,PL,2022,7
IE,PL,2022,7
RO,PL,2022,7
DE,PL,2022,7
MD,PL,2022,7
AT,PL,2022,7
CZ,PL,2022,7
NO,PL,2022,7
EE,PL,2022,7
SK,PL,2022,7
BG,PL,2022,7
ES,PL,2022,7
BE,PL,2022,7
NL,PL,2022,7
LT,PL,2022,7
FI,PL,2022,7
GB,PL,2022,7
SE,PL,2022,7
SI,PL,2022,7
UA,PL,2022,7
IT,PL,2022,7
LV,PL,2022,7
GR,PL,2022,7
IS,PL,2022,7
TR,PL,2022,7
PT,PL,2022,7
CY,PL,2022,7
KZ,PL,2022,7
RU,PL,2022,7
BY,PL,2022,7
AZ,PL,2022,7
GE,PL,2022,7
AM,PL,2022,7
LU,PL,2022,7
ME,PL,2022,8
AD,PL,2022,8
HU,PL,2022,8
HR,PL,2022,8
BA,PL,2022,8
RS,PL,2022,8
FR,PL,2022,8
AL.,PL,2022,8
CH,PL,2022,8
MK,PL,2022,8
DK,PL,2022,8
IE,PL,2022,8
RO,PL,2022,8
DE,PL,2022,8
MD,PL,2022,8
AT,PL,2022,8
CZ,PL,2022,8
NO,PL,2022,8
EE,PL,2022,8
SK,PL,2022,8
BG,PL,2022,8
ES,PL,2022,8
BE,PL,2022,8
NL,PL,2022,8
LT,PL,2022,8
FI,PL,2022,8
GB,PL,2022,8
SE,PL,2022,8
SI,PL,2022,8
UA,PL,2022,8
IT,PL,2022,8
LV,PL,2022,8
GR,PL,2022,8
IS,PL,2022,8
TR,PL,2022,8
PT,PL,2022,8
CY,PL,2022,8
KZ,PL,2022,8
RU,PL,2022,8
BY,PL,2022,8
AZ,PL,2022,8
GE,PL,2022,8
AM,PL,2022,8
LU,PL,2022,8
ME,PL,2022,9
AD,PL,2022,9
HU,PL,2022,9
HR,PL,2022,9
BA,PL,2022,9
RS,PL,2022,9
FR,PL,2022,9
AL.,PL,2022,9
CH,PL,2022,9
MK,PL,2022,9
DK,PL,2022,9
IE,PL,2022,9
RO,PL,2022,9
DE,PL,2022,9
MD,PL,2022,9
AT,PL,2022,9
CZ,PL,2022,9
NO,PL,2022,9
EE,PL,2022,9
SK,PL,2022,9
BG,PL,2022,9
ES,PL,2022,9
BE,PL,2022,9
NL,PL,2022,9
LT,PL,2022,9
FI,PL,2022,9
GB,PL,2022,9
SE,PL,2022,9
SI,PL,2022,9
UA,PL,2022,9
IT,PL,2022,9
LV,PL,2022,9
GR,PL,2022,9
IS,PL,2022,9
TR,PL,2022,9
PT,PL,2022,9
CY,PL,2022,9
KZ,PL,2022,9
RU,PL,2022,9
BY,PL,2022,9
AZ,PL,2022,9
GE,PL,2022,9
AM,PL,2022,9
LU,PL,2022,9
ME,PL,2022,10
AD,PL,2022,10
HU,PL,2022,10
HR,PL,2022,10
BA,PL,2022,10
RS,PL,2022,10
FR,PL,2022,10
AL.,PL,2022,10
CH,PL,2022,10
MK,PL,2022,10
DK,PL,2022,10
IE,PL,2022,10
RO,PL,2022,10
DE,PL,2022,10
MD,PL,2022,10
AT,PL,2022,10
CZ,PL,2022,10
NO,PL,2022,10
EE,PL,2022,10
SK,PL,2022,10
BG,PL,2022,10
ES,PL,2022,10
BE,PL,2022,10
NL,PL,2022,10
LT,PL,2022,10
FI,PL,2022,10
GB,PL,2022,10
SE,PL,2022,10
SI,PL,2022,10
UA,PL,2022,10
IT,PL,2022,10
LV,PL,2022,10
GR,PL,2022,10
IS,PL,2022,10
TR,PL,2022,10
PT,PL,2022,10
CY,PL,2022,10
KZ,PL,2022,10
RU,PL,2022,10
BY,PL,2022,10
AZ,PL,2022,10
GE,PL,2022,10
AM,PL,2022,10
LU,PL,2022,10
ME,PL,2022,11
AD,PL,2022,11
HU,PL,2022,11
HR,PL,2022,11
BA,PL,2022,11
RS,PL,2022,11
FR,PL,2022,11
AL.,PL,2022,11
CH,PL,2022,11
MK,PL,2022,11
DK,PL,2022,11
IE,PL,2022,11
RO,PL,2022,11
DE,PL,2022,11
MD,PL,2022,11
AT,PL,2022,11
CZ,PL,2022,11
NO,PL,2022,11
EE,PL,2022,11
SK,PL,2022,11
BG,PL,2022,11
ES,PL,2022,11
BE,PL,2022,11
NL,PL,2022,11
LT,PL,2022,11
FI,PL,2022,11
GB,PL,2022,11
SE,PL,2022,11
SI,PL,2022,11
UA,PL,2022,11
IT,PL,2022,11
LV,PL,2022,11
GR,PL,2022,11
IS,PL,2022,11
TR,PL,2022,11
PT,PL,2022,11
CY,PL,2022,11
KZ,PL,2022,11
RU,PL,2022,11
BY,PL,2022,11
AZ,PL,2022,11
GE,PL,2022,11
AM,PL,2022,11
LU,PL,2022,11
ME,PL,2022,12
AD,PL,2022,12
HU,PL,2022,12
HR,PL,2022,12
BA,PL,2022,12
RS,PL,2022,12
FR,PL,2022,12
AL.,PL,2022,12
CH,PL,2022,12
MK,PL,2022,12
DK,PL,2022,12
IE,PL,2022,12
RO,PL,2022,12
DE,PL,2022,12
MD,PL,2022,12
AT,PL,2022,12
CZ,PL,2022,12
NO,PL,2022,12
EE,PL,2022,12
SK,PL,2022,12
BG,PL,2022,12
ES,PL,2022,12
BE,PL,2022,12
NL,PL,2022,12
LT,PL,2022,12
FI,PL,2022,12
GB,PL,2022,12
SE,PL,2022,12
SI,PL,2022,12
UA,PL,2022,12
IT,PL,2022,12
LV,PL,2022,12
GR,PL,2022,12
IS,PL,2022,12
TR,PL,2022,12
PT,PL,2022,12
CY,PL,2022,12
KZ,PL,2022,12
RU,PL,2022,12
BY,PL,2022,12
AZ,PL,2022,12
GE,PL,2022,12
AM,PL,2022,12
LU,PL,2022,12
PL,ME,2023,1
PL,AD,2023,1
PL,HU,2023,1
PL,HR,2023,1
PL,BA,2023,1
PL,RS,2023,1
PL,FR,2023,1
PL,AL,2023,1
PL,CH,2023,1
PL,MK,2023,1
PL,DK,2023,1
PL,IE,2023,1
PL,RO,2023,1
PL,DE,2023,1
PL,MD,2023,1
PL,AT,2023,1
PL,CZ,2023,1
PL,NO,2023,1
PL,EE,2023,1
PL,SK,2023,1
PL,BG,2023,1
PL,ES,2023,1
PL,BE,2023,1
PL,NL,2023,1
PL,LT,2023,1
PL,FI,2023,1
PL,GB,2023,1
PL,SE,2023,1
PL,SI,2023,1
PL,UA,2023,1
PL,IT,2023,1
PL,LV,2023,1
PL,GR,2023,1
PL,IS,2023,1
PL,TR,2023,1
PL,PT,2023,1
PL,CY,2023,1
PL,KZ,2023,1
PL,RU,2023,1
PL,BY,2023,1
PL,AZ,2023,1
PL,GE,2023,1
PL,AM,2023,1
PL,LU,2023,1
PL,ME,2023,2
PL,AD,2023,2
PL,HU,2023,2
PL,HR,2023,2
PL,BA,2023,2
PL,RS,2023,2
PL,FR,2023,2
PL,AL,2023,2
PL,CH,2023,2
PL,MK,2023,2
PL,DK,2023,2
PL,IE,2023,2
PL,RO,2023,2
PL,DE,2023,2
PL,MD,2023,2
PL,AT,2023,2
PL,CZ,2023,2
PL,NO,2023,2
PL,EE,2023,2
PL,SK,2023,2
PL,BG,2023,2
PL,ES,2023,2
PL,BE,2023,2
PL,NL,2023,2
PL,LT,2023,2
PL,FI,2023,2
PL,GB,2023,2
PL,SE,2023,2
PL,SI,2023,2
PL,UA,2023,2
PL,IT,2023,2
PL,LV,2023,2
PL,GR,2023,2
PL,IS,2023,2
PL,TR,2023,2
PL,PT,2023,2
PL,CY,2023,2
PL,KZ,2023,2
PL,RU,2023,2
PL,BY,2023,2
PL,AZ,2023,2
PL,GE,2023,2
PL,AM,2023,2
PL,LU,2023,2
PL,ME,2023,3
PL,AD,2023,3
PL,HU,2023,3
PL,HR,2023,3
PL,BA,2023,3
PL,RS,2023,3
PL,FR,2023,3
PL,AL,2023,3
PL,CH,2023,3
PL,MK,2023,3
PL,DK,2023,3
PL,IE,2023,3
PL,RO,2023,3
PL,DE,2023,3
PL,MD,2023,3
PL,AT,2023,3
PL,CZ,2023,3
PL,NO,2023,3
PL,EE,2023,3
PL,SK,2023,3
PL,BG,2023,3
PL,ES,2023,3
PL,BE,2023,3
PL,NL,2023,3
PL,LT,2023,3
PL,FI,2023,3
PL,GB,2023,3
PL,SE,2023,3
PL,SI,2023,3
PL,UA,2023,3
PL,IT,2023,3
PL,LV,2023,3
PL,GR,2023,3
PL,IS,2023,3
PL,TR,2023,3
PL,PT,2023,3
PL,CY,2023,3
PL,KZ,2023,3
PL,RU,2023,3
PL,BY,2023,3
PL,AZ,2023,3
PL,GE,2023,3
PL,AM,2023,3
PL,LU,2023,3
PL,ME,2023,4
PL,AD,2023,4
PL,HU,2023,4
PL,HR,2023,4
PL,BA,2023,4
PL,RS,2023,4
PL,FR,2023,4
PL,AL,2023,4
PL,CH,2023,4
PL,MK,2023,4
PL,DK,2023,4
PL,IE,2023,4
PL,RO,2023,4
PL,DE,2023,4
PL,MD,2023,4
PL,AT,2023,4
PL,CZ,2023,4
PL,NO,2023,4
PL,EE,2023,4
PL,SK,2023,4
PL,BG,2023,4
PL,ES,2023,4
PL,BE,2023,4
PL,NL,2023,4
PL,LT,2023,4
PL,FI,2023,4
PL,GB,2023,4
PL,SE,2023,4
PL,SI,2023,4
PL,UA,2023,4
PL,IT,2023,4
PL,LV,2023,4
PL,GR,2023,4
PL,IS,2023,4
PL,TR,2023,4
PL,PT,2023,4
PL,CY,2023,4
PL,KZ,2023,4
PL,RU,2023,4
PL,BY,2023,4
PL,AZ,2023,4
PL,GE,2023,4
PL,AM,2023,4
PL,LU,2023,4
PL,ME,2023,5
PL,AD,2023,5
PL,HU,2023,5
PL,HR,2023,5
PL,BA,2023,5
PL,RS,2023,5
PL,FR,2023,5
PL,AL,2023,5
PL,CH,2023,5
PL,MK,2023,5
PL,DK,2023,5
PL,IE,2023,5
PL,RO,2023,5
PL,DE,2023,5
PL,MD,2023,5
PL,AT,2023,5
PL,CZ,2023,5
PL,NO,2023,5
PL,EE,2023,5
PL,SK,2023,5
PL,BG,2023,5
PL,ES,2023,5
PL,BE,2023,5
PL,NL,2023,5
PL,LT,2023,5
PL,FI,2023,5
PL,GB,2023,5
PL,SE,2023,5
PL,SI,2023,5
